State,County,Region,Life Expectancy,Years of Potential Life Lost Rate,% Children in Poverty,% Food Insecure,% Some College,% Fair or Poor Health,% Unemployed,% Uninsured
Alabama,Autauga,South,74.8,9938.0,17.0,15.0,61.0,18.0,2.2,8.0
Alabama,Baldwin,South,76.6,8957.0,14.0,15.0,65.0,17.0,2.3,10.0
Alabama,Barbour,South,72.7,12739.0,35.0,19.0,44.0,28.0,4.4,12.0
Alabama,Bibb,South,73.0,11709.0,21.0,19.0,44.0,25.0,2.5,11.0
Alabama,Blount,South,72.9,11898.0,17.0,17.0,53.0,23.0,2.1,13.0
Alabama,Bullock,South,71.0,15998.0,40.0,17.0,36.0,35.0,2.4,11.0
Alabama,Butler,South,71.5,14616.0,37.0,17.0,42.0,26.0,2.9,10.0
Alabama,Calhoun,South,70.8,14260.0,29.0,18.0,54.0,22.0,2.8,12.0
Alabama,Chambers,South,71.9,12569.0,26.0,17.0,53.0,27.0,2.4,13.0
Alabama,Cherokee,South,72.4,12681.0,21.0,18.0,50.0,20.0,2.4,13.0
Alabama,Chilton,South,72.7,11803.0,22.0,18.0,46.0,20.0,2.2,13.0
Alabama,Choctaw,South,73.1,12977.0,36.0,18.0,48.0,27.0,4.0,11.0
Alabama,Clarke,South,69.9,16382.0,29.0,19.0,41.0,26.0,5.0,11.0
Alabama,Clay,South,71.9,13313.0,25.0,18.0,52.0,25.0,2.4,11.0
Alabama,Cleburne,South,72.1,12586.0,22.0,18.0,51.0,23.0,2.3,12.0
Alabama,Coffee,South,74.2,10339.0,21.0,18.0,61.0,20.0,2.5,12.0
Alabama,Colbert,South,73.0,12370.0,21.0,18.0,58.0,22.0,2.9,11.0
Alabama,Conecuh,South,69.0,18928.0,43.0,17.0,38.0,26.0,3.5,11.0
Alabama,Coosa,South,72.2,14410.0,28.0,16.0,40.0,24.0,2.6,9.0
Alabama,Covington,South,70.6,14664.0,22.0,19.0,51.0,22.0,2.7,11.0
Alabama,Crenshaw,South,70.4,13952.0,27.0,16.0,48.0,24.0,2.7,13.0
Alabama,Cullman,South,72.9,11853.0,21.0,17.0,59.0,22.0,2.0,12.0
Alabama,Dale,South,73.0,11939.0,22.0,19.0,59.0,23.0,2.5,10.0
Alabama,Dallas,South,67.7,20427.0,47.0,19.0,57.0,28.0,5.4,10.0
Alabama,DeKalb,South,72.4,11969.0,29.0,19.0,50.0,28.0,2.3,15.0
Alabama,Elmore,South,74.6,9508.0,17.0,14.0,53.0,19.0,2.1,9.0
Alabama,Escambia,South,70.1,15045.0,29.0,19.0,37.0,26.0,3.1,12.0
Alabama,Etowah,South,70.2,14706.0,26.0,18.0,53.0,22.0,2.8,11.0
Alabama,Fayette,South,70.7,14667.0,22.0,21.0,50.0,25.0,2.9,12.0
Alabama,Franklin,South,71.5,13059.0,34.0,18.0,42.0,26.0,2.6,14.0
Alabama,Geneva,South,70.6,14287.0,27.0,21.0,48.0,23.0,2.4,12.0
Alabama,Greene,South,70.6,16287.0,47.0,21.0,35.0,34.0,4.8,9.0
Alabama,Hale,South,69.9,15927.0,32.0,19.0,51.0,26.0,3.3,11.0
Alabama,Henry,South,74.2,10894.0,23.0,17.0,45.0,26.0,2.6,11.0
Alabama,Houston,South,73.5,11251.0,25.0,17.0,58.0,22.0,2.6,12.0
Alabama,Jackson,South,70.9,13932.0,19.0,20.0,50.0,24.0,2.5,13.0
Alabama,Jefferson,South,72.4,13164.0,22.0,15.0,69.0,20.0,2.5,10.0
Alabama,Lamar,South,72.4,12036.0,23.0,19.0,52.0,22.0,2.8,11.0
Alabama,Lauderdale,South,74.9,9937.0,17.0,16.0,58.0,19.0,2.5,11.0
Alabama,Lawrence,South,71.1,13633.0,19.0,18.0,52.0,24.0,2.3,12.0
Alabama,Lee,South,77.1,7894.0,15.0,16.0,76.0,20.0,2.3,10.0
Alabama,Limestone,South,76.1,8777.0,11.0,15.0,66.0,18.0,2.1,9.0
Alabama,Lowndes,South,67.6,19891.0,42.0,18.0,45.0,30.0,4.6,9.0
Alabama,Macon,South,71.4,15397.0,41.0,17.0,52.0,28.0,3.2,10.0
Alabama,Madison,South,76.5,9054.0,14.0,14.0,77.0,17.0,2.0,8.0
Alabama,Marengo,South,70.8,14679.0,33.0,18.0,54.0,26.0,3.3,10.0
Alabama,Marion,South,72.4,12544.0,24.0,20.0,59.0,23.0,2.9,11.0
Alabama,Marshall,South,71.9,12809.0,22.0,18.0,51.0,21.0,2.1,12.0
Alabama,Mobile,South,72.6,12656.0,25.0,16.0,59.0,25.0,3.1,12.0
Alabama,Monroe,South,70.8,15785.0,28.0,19.0,38.0,26.0,4.3,11.0
Alabama,Montgomery,South,72.7,13219.0,26.0,16.0,64.0,25.0,2.8,11.0
Alabama,Morgan,South,72.8,12502.0,17.0,16.0,57.0,22.0,2.0,12.0
Alabama,Perry,South,68.8,17917.0,50.0,21.0,35.0,33.0,5.0,10.0
Alabama,Pickens,South,71.5,13197.0,30.0,19.0,43.0,26.0,3.0,10.0
Alabama,Pike,South,71.6,13497.0,33.0,17.0,62.0,22.0,2.7,11.0
Alabama,Randolph,South,73.1,11834.0,25.0,18.0,50.0,24.0,2.4,13.0
Alabama,Russell,South,71.0,14160.0,27.0,19.0,61.0,26.0,2.8,12.0
Alabama,St. Clair,South,72.8,11878.0,14.0,15.0,59.0,18.0,2.1,10.0
Alabama,Shelby,South,79.4,6795.0,9.0,13.0,76.0,15.0,1.8,8.0
Alabama,Sumter,South,71.3,15670.0,45.0,19.0,53.0,30.0,3.7,9.0
Alabama,Talladega,South,70.5,15316.0,23.0,18.0,51.0,24.0,2.8,10.0
Alabama,Tallapoosa,South,72.8,12183.0,23.0,18.0,52.0,23.0,2.5,12.0
Alabama,Tuscaloosa,South,74.5,10422.0,24.0,15.0,66.0,21.0,2.3,9.0
Alabama,Walker,South,67.8,18377.0,23.0,20.0,56.0,25.0,2.6,12.0
Alabama,Washington,South,72.6,12864.0,26.0,16.0,52.0,25.0,2.6,10.0
Alabama,Wilcox,South,68.7,19439.0,49.0,20.0,39.0,34.0,8.0,12.0
Alabama,Winston,South,72.7,12031.0,24.0,20.0,41.0,21.0,2.7,12.0
Alaska,Aleutians West,West,85.9,,5.0,13.0,55.0,17.0,3.0,17.0
Alaska,Anchorage,West,76.3,9853.0,10.0,11.0,70.0,14.0,3.4,12.0
Alaska,Bethel,West,68.9,18066.0,36.0,20.0,33.0,30.0,9.7,14.0
Alaska,Denali,West,88.6,,11.0,11.0,41.0,14.0,6.0,13.0
Alaska,Dillingham,West,68.2,20904.0,31.0,15.0,47.0,26.0,6.4,17.0
Alaska,Fairbanks North Star,West,77.7,8713.0,8.0,11.0,72.0,14.0,3.8,11.0
Alaska,Haines,West,78.3,,13.0,13.0,82.0,14.0,6.6,11.0
Alaska,Hoonah-Angoon,West,78.3,,27.0,15.0,51.0,19.0,5.6,17.0
Alaska,Juneau,West,79.8,7262.0,10.0,10.0,71.0,13.0,3.0,12.0
Alaska,Kenai Peninsula,West,77.9,8874.0,12.0,14.0,60.0,16.0,4.7,15.0
Alaska,Ketchikan Gateway,West,77.6,9819.0,12.0,13.0,66.0,15.0,3.7,16.0
Alaska,Kodiak Island,West,77.4,8976.0,9.0,12.0,69.0,16.0,4.4,18.0
Alaska,Kusilvak,West,65.0,24556.0,37.0,25.0,23.0,37.0,15.1,14.0
Alaska,Matanuska-Susitna,West,76.2,8750.0,11.0,12.0,58.0,19.0,4.8,15.0
Alaska,Nome,West,68.9,18090.0,23.0,18.0,40.0,29.0,7.7,15.0
Alaska,North Slope,West,75.8,9617.0,14.0,13.0,55.0,19.0,4.9,15.0
Alaska,Northwest Arctic,West,67.8,19918.0,23.0,18.0,36.0,27.0,9.6,17.0
Alaska,Petersburg,West,78.5,,11.0,12.0,64.0,15.0,5.1,18.0
Alaska,Prince of Wales-Hyder,West,71.9,14378.0,22.0,17.0,53.0,20.0,6.7,19.0
Alaska,Sitka,West,79.0,7687.0,11.0,11.0,75.0,15.0,3.0,15.0
Alaska,Southeast Fairbanks,West,75.4,9720.0,14.0,15.0,56.0,18.0,5.2,16.0
Alaska,Wrangell,West,77.5,,15.0,15.0,60.0,17.0,4.9,21.0
Alaska,Yukon-Koyukuk,West,67.3,22704.0,25.0,20.0,49.0,27.0,9.0,19.0
Arizona,Apache,West,63.8,27851.0,36.0,22.0,56.0,33.0,7.9,13.0
Arizona,Cochise,West,76.1,9424.0,20.0,15.0,62.0,19.0,4.5,11.0
Arizona,Coconino,West,75.9,11546.0,21.0,14.0,73.0,18.0,4.2,14.0
Arizona,Gila,West,69.6,19407.0,28.0,17.0,49.0,22.0,4.3,15.0
Arizona,Graham,West,73.5,11353.0,20.0,15.0,49.0,22.0,3.7,11.0
Arizona,Greenlee,West,75.1,11217.0,10.0,14.0,61.0,20.0,2.9,9.0
Arizona,La Paz,West,69.3,23645.0,29.0,19.0,44.0,25.0,4.8,17.0
Arizona,Maricopa,West,77.5,8525.0,14.0,12.0,68.0,17.0,3.4,12.0
Arizona,Mohave,West,72.8,13413.0,23.0,16.0,53.0,21.0,4.5,14.0
Arizona,Navajo,West,67.1,21728.0,29.0,19.0,51.0,26.0,5.7,15.0
Arizona,Pima,West,76.5,9750.0,18.0,14.0,68.0,19.0,3.8,11.0
Arizona,Pinal,West,78.1,9285.0,12.0,12.0,56.0,20.0,4.1,13.0
Arizona,Santa Cruz,West,79.9,6447.0,29.0,18.0,60.0,25.0,7.6,20.0
Arizona,Yavapai,West,76.4,10160.0,17.0,14.0,61.0,17.0,3.6,16.0
Arizona,Yuma,West,77.8,9876.0,23.0,19.0,56.0,25.0,13.2,17.0
Arkansas,Arkansas,South,68.7,17355.0,23.0,18.0,52.0,26.0,2.7,8.0
Arkansas,Ashley,South,70.9,15009.0,25.0,21.0,51.0,26.0,5.6,10.0
Arkansas,Baxter,South,74.2,11057.0,21.0,20.0,60.0,22.0,3.6,11.0
Arkansas,Benton,South,78.2,6948.0,9.0,14.0,67.0,17.0,2.4,11.0
Arkansas,Boone,South,74.2,10889.0,19.0,18.0,59.0,21.0,3.1,9.0
Arkansas,Bradley,South,71.5,14249.0,29.0,18.0,46.0,28.0,4.6,12.0
Arkansas,Calhoun,South,69.9,17437.0,18.0,16.0,48.0,24.0,2.9,10.0
Arkansas,Carroll,South,75.3,10688.0,19.0,17.0,41.0,23.0,2.9,14.0
Arkansas,Chicot,South,69.8,16985.0,37.0,21.0,50.0,31.0,5.8,11.0
Arkansas,Clark,South,72.1,12304.0,20.0,19.0,54.0,26.0,4.7,9.0
Arkansas,Clay,South,72.8,10838.0,22.0,21.0,49.0,25.0,4.1,10.0
Arkansas,Cleburne,South,75.3,9759.0,21.0,19.0,43.0,23.0,3.9,10.0
Arkansas,Cleveland,South,71.5,13720.0,21.0,18.0,57.0,26.0,3.5,8.0
Arkansas,Columbia,South,71.5,13622.0,28.0,19.0,52.0,24.0,4.3,9.0
Arkansas,Conway,South,73.1,12472.0,23.0,21.0,50.0,27.0,3.8,9.0
Arkansas,Craighead,South,74.4,10320.0,23.0,19.0,62.0,23.0,2.7,10.0
Arkansas,Crawford,South,73.2,11457.0,18.0,19.0,52.0,23.0,3.4,9.0
Arkansas,Crittenden,South,69.2,17011.0,29.0,17.0,53.0,28.0,4.2,9.0
Arkansas,Cross,South,70.9,13763.0,25.0,20.0,48.0,26.0,3.4,10.0
Arkansas,Dallas,South,70.5,16219.0,27.0,17.0,60.0,25.0,3.9,9.0
Arkansas,Desha,South,70.6,15390.0,36.0,21.0,48.0,34.0,4.6,10.0
Arkansas,Drew,South,72.4,12652.0,28.0,19.0,56.0,25.0,4.2,9.0
Arkansas,Faulkner,South,75.7,9026.0,15.0,17.0,67.0,19.0,2.9,8.0
Arkansas,Franklin,South,72.3,12985.0,24.0,21.0,53.0,26.0,3.2,10.0
Arkansas,Fulton,South,72.8,12325.0,25.0,19.0,50.0,28.0,3.8,9.0
Arkansas,Garland,South,72.1,14393.0,29.0,20.0,62.0,20.0,3.7,10.0
Arkansas,Grant,South,73.3,11188.0,14.0,18.0,54.0,21.0,2.9,7.0
Arkansas,Greene,South,73.5,10847.0,19.0,20.0,49.0,24.0,3.3,8.0
Arkansas,Hempstead,South,73.3,11967.0,26.0,19.0,55.0,26.0,3.4,11.0
Arkansas,Hot Spring,South,72.2,12718.0,22.0,20.0,49.0,24.0,3.5,8.0
Arkansas,Howard,South,72.4,12555.0,23.0,18.0,49.0,24.0,3.5,10.0
Arkansas,Independence,South,73.4,11068.0,18.0,20.0,57.0,26.0,3.4,10.0
Arkansas,Izard,South,73.7,11978.0,24.0,22.0,55.0,23.0,5.1,10.0
Arkansas,Jackson,South,70.5,14435.0,32.0,22.0,46.0,28.0,5.1,9.0
Arkansas,Jefferson,South,70.3,15931.0,32.0,17.0,47.0,28.0,4.6,8.0
Arkansas,Johnson,South,73.4,11849.0,20.0,21.0,44.0,29.0,4.4,11.0
Arkansas,Lafayette,South,71.7,14360.0,31.0,19.0,53.0,31.0,4.9,12.0
Arkansas,Lawrence,South,71.3,14246.0,25.0,21.0,55.0,27.0,3.4,9.0
Arkansas,Lee,South,68.9,18152.0,46.0,21.0,33.0,32.0,5.2,10.0
Arkansas,Lincoln,South,72.6,11303.0,25.0,17.0,35.0,28.0,4.0,10.0
Arkansas,Little River,South,71.8,12484.0,25.0,16.0,56.0,23.0,3.5,8.0
Arkansas,Logan,South,71.2,13583.0,23.0,19.0,51.0,24.0,4.0,9.0
Arkansas,Lonoke,South,74.1,9867.0,12.0,16.0,55.0,20.0,2.7,9.0
Arkansas,Madison,South,74.2,10725.0,21.0,18.0,37.0,25.0,2.6,10.0
Arkansas,Marion,South,73.7,11365.0,26.0,21.0,56.0,23.0,4.1,10.0
Arkansas,Miller,South,71.4,13872.0,27.0,19.0,49.0,27.0,3.6,9.0
Arkansas,Mississippi,South,67.9,18348.0,31.0,20.0,47.0,29.0,4.9,8.0
Arkansas,Monroe,South,68.8,18679.0,38.0,20.0,48.0,29.0,3.9,11.0
Arkansas,Montgomery,South,71.9,13842.0,28.0,22.0,45.0,24.0,4.9,13.0
Arkansas,Nevada,South,72.7,13042.0,31.0,22.0,47.0,27.0,3.7,7.0
Arkansas,Newton,South,73.6,11536.0,27.0,17.0,65.0,24.0,3.4,9.0
Arkansas,Ouachita,South,70.8,14753.0,25.0,19.0,55.0,25.0,3.9,8.0
Arkansas,Perry,South,74.1,10349.0,21.0,19.0,58.0,22.0,3.6,9.0
Arkansas,Phillips,South,67.4,20041.0,45.0,22.0,51.0,33.0,6.5,9.0
Arkansas,Pike,South,71.6,13905.0,27.0,20.0,58.0,23.0,3.5,11.0
Arkansas,Poinsett,South,68.7,16532.0,27.0,22.0,46.0,30.0,3.3,9.0
Arkansas,Polk,South,72.2,13275.0,26.0,20.0,58.0,23.0,3.6,11.0
Arkansas,Pope,South,75.1,9343.0,16.0,19.0,54.0,23.0,3.9,11.0
Arkansas,Prairie,South,72.8,12115.0,22.0,17.0,62.0,26.0,3.1,9.0
Arkansas,Pulaski,South,73.8,12283.0,24.0,16.0,69.0,20.0,3.2,9.0
Arkansas,Randolph,South,72.1,13414.0,24.0,21.0,51.0,26.0,3.5,10.0
Arkansas,St. Francis,South,70.4,15430.0,46.0,21.0,44.0,34.0,5.0,11.0
Arkansas,Saline,South,75.5,9602.0,12.0,15.0,67.0,17.0,2.7,8.0
Arkansas,Scott,South,68.3,18531.0,27.0,20.0,52.0,25.0,3.0,9.0
Arkansas,Searcy,South,73.6,10894.0,28.0,25.0,48.0,28.0,4.3,9.0
Arkansas,Sebastian,South,73.5,11659.0,18.0,20.0,59.0,25.0,3.4,11.0
Arkansas,Sevier,South,72.2,11822.0,24.0,20.0,36.0,27.0,3.8,15.0
Arkansas,Sharp,South,73.0,12343.0,25.0,20.0,48.0,26.0,3.9,11.0
Arkansas,Stone,South,74.1,10971.0,26.0,23.0,52.0,26.0,4.1,12.0
Arkansas,Union,South,70.4,15152.0,24.0,17.0,52.0,22.0,4.6,9.0
Arkansas,Van Buren,South,73.9,11385.0,24.0,21.0,39.0,27.0,4.0,10.0
Arkansas,Washington,South,76.8,8081.0,14.0,17.0,64.0,22.0,2.3,14.0
Arkansas,White,South,72.8,11839.0,20.0,19.0,50.0,24.0,3.5,10.0
Arkansas,Woodruff,South,73.2,11239.0,35.0,18.0,40.0,28.0,3.6,9.0
Arkansas,Yell,South,73.9,10521.0,23.0,18.0,43.0,27.0,3.7,12.0
California,Alameda,West,82.0,5217.0,9.0,10.0,79.0,15.0,4.1,4.0
California,Amador,West,78.5,7567.0,14.0,11.0,63.0,16.0,5.1,6.0
California,Butte,West,75.7,9316.0,21.0,15.0,71.0,18.0,5.2,8.0
California,Calaveras,West,78.8,7926.0,16.0,13.0,60.0,17.0,4.2,7.0
California,Colusa,West,79.2,6184.0,14.0,16.0,51.0,24.0,13.0,10.0
California,Contra Costa,West,81.2,5577.0,10.0,9.0,72.0,16.0,4.1,5.0
California,Del Norte,West,73.8,11533.0,21.0,15.0,57.0,24.0,5.7,8.0
California,El Dorado,West,80.6,6327.0,8.0,10.0,73.0,13.0,4.0,5.0
California,Fresno,West,75.9,9008.0,23.0,16.0,58.0,24.0,7.5,8.0
California,Glenn,West,75.4,9723.0,15.0,14.0,51.0,23.0,6.3,9.0
California,Humboldt,West,75.8,9668.0,19.0,16.0,69.0,20.0,4.6,7.0
California,Imperial,West,76.2,8703.0,22.0,21.0,56.0,29.0,17.3,9.0
California,Inyo,West,76.6,10431.0,14.0,13.0,68.0,17.0,3.8,7.0
California,Kern,West,74.2,10697.0,25.0,16.0,52.0,26.0,8.3,8.0
California,Kings,West,76.6,8188.0,20.0,15.0,49.0,26.0,8.2,7.0
California,Lake,West,74.1,12237.0,22.0,15.0,56.0,19.0,5.8,8.0
California,Lassen,West,74.9,11258.0,17.0,14.0,43.0,21.0,5.2,6.0
California,Los Angeles,West,79.4,6746.0,18.0,13.0,67.0,19.0,5.0,9.0
California,Madera,West,76.5,8648.0,24.0,16.0,51.0,25.0,7.5,10.0
California,Marin,West,84.3,4149.0,8.0,9.0,77.0,11.0,3.3,5.0
California,Mariposa,West,78.3,9759.0,22.0,14.0,76.0,20.0,5.1,7.0
California,Mendocino,West,76.8,10093.0,19.0,15.0,57.0,20.0,4.7,10.0
California,Merced,West,76.2,8849.0,23.0,17.0,48.0,29.0,9.0,9.0
California,Modoc,West,74.6,13302.0,28.0,15.0,55.0,18.0,6.3,8.0
California,Mono,West,93.6,4739.0,11.0,10.0,78.0,16.0,3.8,10.0
California,Monterey,West,80.8,6114.0,20.0,13.0,51.0,23.0,7.0,12.0
California,Napa,West,81.2,5210.0,9.0,10.0,67.0,19.0,3.5,7.0
California,Nevada,West,80.0,7472.0,13.0,11.0,72.0,17.0,3.9,6.0
California,Orange,West,81.3,5325.0,11.0,10.0,74.0,16.0,3.6,7.0
California,Placer,West,81.2,5086.0,6.0,9.0,80.0,14.0,3.7,4.0
California,Plumas,West,78.2,8792.0,18.0,13.0,71.0,15.0,7.3,6.0
California,Riverside,West,77.8,7817.0,14.0,11.0,58.0,18.0,4.8,8.0
California,Sacramento,West,78.0,7616.0,14.0,12.0,68.0,19.0,4.4,5.0
California,San Benito,West,79.9,6316.0,11.0,11.0,58.0,18.0,6.0,7.0
California,San Bernardino,West,75.4,9378.0,17.0,12.0,57.0,22.0,4.7,9.0
California,San Diego,West,80.3,5727.0,12.0,11.0,75.0,16.0,3.9,7.0
California,San Francisco,West,82.4,5634.0,11.0,11.0,88.0,13.0,3.3,4.0
California,San Joaquin,West,76.4,8730.0,16.0,13.0,54.0,20.0,6.2,8.0
California,San Luis Obispo,West,80.7,6206.0,12.0,11.0,72.0,15.0,3.5,7.0
California,San Mateo,West,84.1,4006.0,7.0,9.0,80.0,13.0,3.0,5.0
California,Santa Barbara,West,80.6,6123.0,17.0,12.0,65.0,17.0,4.1,9.0
California,Santa Clara,West,83.8,4125.0,7.0,9.0,82.0,15.0,3.5,4.0
California,Santa Cruz,West,81.8,5482.0,14.0,12.0,74.0,17.0,5.7,6.0
California,Shasta,West,74.3,10558.0,16.0,14.0,66.0,16.0,5.1,7.0
California,Sierra,West,81.3,,15.0,13.0,23.0,17.0,4.7,6.0
California,Siskiyou,West,73.1,13488.0,22.0,16.0,64.0,19.0,6.4,8.0
California,Solano,West,78.8,7385.0,12.0,10.0,63.0,18.0,4.7,6.0
California,Sonoma,West,80.6,5997.0,10.0,11.0,67.0,14.0,3.6,7.0
California,Stanislaus,West,75.4,9309.0,16.0,14.0,55.0,20.0,6.4,7.0
California,Sutter,West,77.3,8213.0,19.0,14.0,57.0,23.0,7.8,9.0
California,Tehama,West,74.3,11336.0,21.0,15.0,58.0,21.0,5.8,7.0
California,Trinity,West,77.0,12354.0,30.0,16.0,52.0,20.0,5.7,6.0
California,Tulare,West,75.5,9206.0,23.0,17.0,52.0,26.0,10.0,9.0
California,Tuolumne,West,76.4,9372.0,14.0,13.0,66.0,16.0,5.0,6.0
California,Ventura,West,80.7,5626.0,13.0,11.0,66.0,18.0,4.3,8.0
California,Yolo,West,79.9,5728.0,12.0,12.0,74.0,19.0,4.7,6.0
California,Yuba,West,75.1,9988.0,20.0,15.0,62.0,21.0,6.7,7.0
Colorado,Adams,West,76.9,8283.0,13.0,12.0,61.0,19.0,3.4,11.0
Colorado,Alamosa,West,73.0,12905.0,26.0,15.0,64.0,21.0,3.7,11.0
Colorado,Arapahoe,West,79.1,6895.0,13.0,10.0,74.0,14.0,3.1,10.0
Colorado,Archuleta,West,79.6,8261.0,18.0,12.0,57.0,14.0,3.2,11.0
Colorado,Baca,West,69.8,16304.0,29.0,17.0,67.0,22.0,2.0,9.0
Colorado,Bent,West,74.8,10364.0,27.0,20.0,33.0,23.0,3.0,8.0
Colorado,Boulder,West,82.3,4571.0,8.0,11.0,85.0,11.0,2.8,6.0
Colorado,Broomfield,West,81.9,4980.0,5.0,9.0,86.0,10.0,3.0,4.0
Colorado,Chaffee,West,81.0,6516.0,12.0,13.0,65.0,15.0,3.0,10.0
Colorado,Cheyenne,West,73.8,,20.0,11.0,77.0,15.0,2.1,9.0
Colorado,Clear Creek,West,83.6,4820.0,11.0,10.0,75.0,12.0,2.8,7.0
Colorado,Conejos,West,72.6,12591.0,23.0,15.0,54.0,21.0,3.3,9.0
Colorado,Costilla,West,69.9,20239.0,37.0,20.0,66.0,24.0,4.4,11.0
Colorado,Crowley,West,70.1,16105.0,32.0,19.0,32.0,24.0,4.2,9.0
Colorado,Custer,West,79.2,,22.0,11.0,63.0,14.0,3.2,8.0
Colorado,Delta,West,76.0,9512.0,18.0,15.0,51.0,18.0,3.6,12.0
Colorado,Denver,West,77.4,8060.0,14.0,13.0,82.0,17.0,3.3,9.0
Colorado,Dolores,West,78.5,,16.0,13.0,77.0,15.0,2.9,8.0
Colorado,Douglas,West,82.4,4121.0,3.0,8.0,88.0,10.0,2.9,4.0
Colorado,Eagle,West,89.7,4321.0,7.0,10.0,72.0,14.0,2.6,12.0
Colorado,Elbert,West,80.7,6354.0,7.0,7.0,72.0,13.0,2.6,7.0
Colorado,El Paso,West,76.2,9566.0,9.0,12.0,76.0,15.0,3.3,8.0
Colorado,Fremont,West,75.6,9802.0,20.0,15.0,42.0,17.0,4.9,9.0
Colorado,Garfield,West,80.0,6090.0,11.0,11.0,63.0,15.0,2.9,14.0
Colorado,Gilpin,West,80.0,6625.0,10.0,11.0,73.0,13.0,2.7,5.0
Colorado,Grand,West,83.9,7066.0,9.0,10.0,65.0,12.0,2.7,10.0
Colorado,Gunnison,West,82.9,4090.0,9.0,10.0,79.0,11.0,2.6,7.0
Colorado,Huerfano,West,72.5,14473.0,31.0,18.0,54.0,19.0,5.8,9.0
Colorado,Jefferson,West,78.9,6799.0,8.0,10.0,79.0,13.0,2.9,6.0
Colorado,Kit Carson,West,75.6,10204.0,16.0,13.0,63.0,15.0,1.8,13.0
Colorado,Lake,West,81.3,7783.0,16.0,11.0,61.0,12.0,2.5,13.0
Colorado,La Plata,West,80.3,7126.0,13.0,12.0,75.0,12.0,3.0,10.0
Colorado,Larimer,West,80.5,5743.0,8.0,11.0,82.0,11.0,2.8,7.0
Colorado,Las Animas,West,74.0,12324.0,24.0,18.0,55.0,21.0,5.0,11.0
Colorado,Lincoln,West,77.6,7749.0,17.0,13.0,35.0,18.0,2.8,8.0
Colorado,Logan,West,74.0,11936.0,16.0,13.0,54.0,18.0,2.7,10.0
Colorado,Mesa,West,76.7,8653.0,13.0,13.0,65.0,16.0,3.5,10.0
Colorado,Moffat,West,75.1,10530.0,14.0,14.0,53.0,19.0,3.2,10.0
Colorado,Montezuma,West,74.3,12917.0,22.0,14.0,57.0,18.0,4.0,12.0
Colorado,Montrose,West,77.9,8864.0,14.0,13.0,55.0,16.0,3.3,13.0
Colorado,Morgan,West,75.6,9510.0,15.0,13.0,55.0,18.0,3.0,13.0
Colorado,Otero,West,71.9,13766.0,27.0,19.0,63.0,26.0,4.1,10.0
Colorado,Ouray,West,85.4,,9.0,10.0,85.0,12.0,3.2,6.0
Colorado,Park,West,81.5,7198.0,11.0,10.0,80.0,13.0,2.8,7.0
Colorado,Phillips,West,76.3,9191.0,16.0,13.0,55.0,20.0,2.2,13.0
Colorado,Pitkin,West,94.2,3488.0,5.0,11.0,84.0,10.0,3.3,7.0
Colorado,Prowers,West,73.7,11422.0,25.0,16.0,56.0,22.0,2.8,13.0
Colorado,Pueblo,West,72.5,13502.0,17.0,16.0,60.0,19.0,4.4,8.0
Colorado,Rio Blanco,West,78.7,5866.0,11.0,14.0,62.0,16.0,3.3,9.0
Colorado,Rio Grande,West,72.3,14091.0,25.0,13.0,64.0,17.0,4.0,14.0
Colorado,Routt,West,83.3,5045.0,6.0,10.0,77.0,12.0,2.5,9.0
Colorado,Saguache,West,77.1,9580.0,30.0,15.0,50.0,22.0,3.5,12.0
Colorado,San Miguel,West,86.5,,8.0,11.0,84.0,12.0,3.2,8.0
Colorado,Sedgwick,West,73.5,,23.0,16.0,78.0,19.0,3.1,10.0
Colorado,Summit,West,92.4,4162.0,7.0,9.0,70.0,13.0,2.3,10.0
Colorado,Teller,West,78.4,8621.0,12.0,11.0,67.0,13.0,3.0,6.0
Colorado,Washington,West,74.0,11152.0,18.0,11.0,69.0,15.0,2.3,9.0
Colorado,Weld,West,78.8,6882.0,10.0,11.0,65.0,15.0,3.3,10.0
Colorado,Yuma,West,79.1,5886.0,16.0,13.0,63.0,19.0,2.0,13.0
Connecticut,Fairfield,Northeast,81.2,5172.0,,,,,3.9,
Connecticut,Hartford,Northeast,78.3,7218.0,,,,,3.8,
Connecticut,Litchfield,Northeast,79.1,6767.0,,,,,3.4,
Connecticut,Middlesex,Northeast,80.4,5773.0,,,,,3.2,
Connecticut,New Haven,Northeast,78.0,7774.0,,,,,3.9,
Connecticut,New London,Northeast,78.1,7673.0,,,,,3.6,
Connecticut,Tolland,Northeast,80.2,5837.0,,,,,3.3,
Connecticut,Windham,Northeast,77.2,7901.0,,,,,3.9,
Delaware,Kent,South,75.1,10078.0,16.0,14.0,63.0,17.0,4.5,7.0
Delaware,New Castle,South,77.1,8586.0,15.0,12.0,69.0,16.0,3.9,6.0
Delaware,Sussex,South,77.1,9330.0,17.0,13.0,56.0,16.0,3.8,8.0
District of Columbia,District of Columbia,South,76.5,9241.0,21.0,11.0,85.0,13.0,4.9,3.0
Florida,Alachua,South,77.7,8032.0,18.0,14.0,77.0,18.0,3.1,10.0
Florida,Baker,South,73.5,10954.0,19.0,13.0,46.0,20.0,2.9,11.0
Florida,Bay,South,74.2,11538.0,16.0,14.0,64.0,17.0,2.8,14.0
Florida,Bradford,South,74.1,11049.0,22.0,15.0,40.0,23.0,3.1,12.0
